,full_text,sentiment,insight
32,So how many more days/weeks are you going to allow this genocide while mouthing pitiful platitudes from the sidelines and egging on the wanton brutality Immediate ceasefire End the siege Investigate war crimes Recognise Palestine &amp Palestinian rights,Negative,peace
33,Send her to Palestine and see how that works outs,Neutral,wonder
34,On the same bases why the Israelis stay in Palestine They to told you to leave ,Negative,wonder
35,Funny if you do a little research youll see a coin with Palestine on it You didnt have an America You didnt have an Australia You didnt have an Israel till May 1948 Whats your point,Positive,supportPalestine
36,Ye Palestine wale police hai ya aatakbaadi ,Neutral,war
37,Israel make a parking lot out of Palestine,Neutral,conflict
38,This Hypocrite Man has Supplied Arms Ammunition Mortars to Ukraine This is called the support that a country needs Meanwhile This American European Slave Will Just Issue Cowardly Verbal Statements for Palestine GazaGenocide,Neutral,supportPalestine
39,America and NATO failed in Ukraine now they come Palestine what they need know themselves,Negative,wonder
40,Its not Israel vs Palestine Its Israel va Hamas The fact that the pro Palestine side keeps conflating Hamas/Palestine is telling,Neutral,selfdefend
41,Francine Miller of South Royalton Vt cites the illegal occupation of Palestine by Israel as the root cause of this conflict She thus makes clear that the root cause is in fact the refusal by the Arabs since 1947 to accept the Jewish state ,Negative,religionFight
42,Oh I get it only Israel has to follow rules but Palestinians can do whatever they want See thats kinda how they got to be such a poor and pathetic land If anyone believed what you said all Arab countries would come to the aid of Palestine a long long time ago,Negative,wonder
43,ANC KZN calls for Woolworths boycott as it prepares for protest in support of Palestine The dont have the competence to keep eThekwini solvent but at least they have enough competency in boycotting and destruction ,Negative,supportPalestine
44,Taken by me at a pro Palestine March in Indianapolis Mostly Arabs no violence no one was anti white or anti west and no provoking the other side After the protest the Muslims made dua for Palestine and we all left peacefully Nothing like the BLM protests ,Negative,war
45,Palestinians existed as they were simply the nomads living on these lands plus this name being created wouldve made the Palestinian identity Though this is mostly to counter the whole idea that a Palestine didnt exist which is indeed false,Positive,conflict
46,Because civilians in Palestine support find house feed and supply Hamas,Positive,supportPalestine
47,on sen fou réellement des gens meurt en palestine,Neutral,conflict
48,No coverage of ethnic cleansing in Nagorno Karabakh Why not Because the media doesnt want us to focus on anything but the Israel/Palestine conflict so dont pay any attention to the man under that curtain (Wizard of Oz reference) ,Negative,war
49,FREE PALESTINE 🇵🇸,Positive,supportPalestine
50,Nikki Nikki cant you see Palestine will be free ,Positive,supportPalestine
51,Who the HELL is we ,Negative,suffering
52,Why should the Palestinians accept anything other than a return of Palestine ,Positive,wonder
53,Especially the overnight activists that didnt give a shit about Palestine or Gaza a month ago and have used this as an excuse to demonstrate their blatant Antisemitism,Positive,government_war
54,The Ethnic Cleansing of Palestine ,Neutral,israel_crime
55,Gilad Erdan Zionist Israels continued flagrant omission &amp denial of terrorism racism genicide ethnic cleansing land theft brutal illegal military occupation of Palestines Gaza West Bank East Jerusalem Zionism is not Judaism Zionism employs Nazi pogroms in Palestine ,Negative,against_israel
56,We stand with Palestine نحن نقف مع فلسطين megamanx zero x megaman palestine Gazaunderattack Gaza snes ,Neutral,supportPalestine
57,Im sorry I much have missed him saying anything about Hamas Supporting Palestine and preparing to fight the enemy is fine as Israel has certainly made themselves the enemy for those people Youre sounding rather a tad racist there ,Negative,sadly
58,You are killing innocent children and women in Palestine,Negative,sadly
59,Malaysians will stand with Palestine Always,Neutral,supportPalestine
60,LIVE: Israels Eli Cohen at UNSC We call for the immediate and unconditional release of all Hamas hostages Palestine Gaza ,Neutral,selfdefend
61,If you are meaning Hamas the violent arm of the Muslim brotherhood who in 2007 overthrew the murdered 200+ Palestine Government national army and took control of Gaza and is supported by Russia Why would we do that Hamas is Russia and has held Gaza hostage since 2007,Negative,religionFight
62,SathiyamExclusive | காஸாவில் இதுவே கடைசி ஆட்டம் இரவோடு இரவாக தரைவழியே நுழைந்த இஸ்ரேல் அடுத்து காத்திருக்கும் அதிர்ச்சி Watch &gt Gaza | IsraelPalestineConflict | Israel | Palestine | INDIA | SatiyamNews,Neutral,conflict
63,Because its bs Marit is just trying to save face and con people into thinking palestine wasnt the reason they pushed out jama Like most narcissistic karens Marit is all about control and she cant handle that someone dared not to kiss the ring,Positive,supportPalestine
64,This is why its so important as citizens of a republic that we not allow ourselves to become cult followers of ANY politician Our elected leaders should serve our interests &amp respond to our will Otherwise it isnt democracy Power corrupts many people &amp turns them to tyrants,Positive,wonder
65,I stand with palestine🇵🇸,Neutral,supportPalestine
66,3 Key Insights for Building a Powerful and Loving Movement Against Oppression in Palestine Israel ,Positive,war
67,To reiterate I dont think we should do any donation collections for this comeback considering the situation in Palestine I dont think its right to be spending thousands of dollars to do ok on the charts while people are dying and suffering from the lack of nesscities,Negative,supportPalestine
68,Si la France condamnait la colonisation la France sest toujours refusée à reconnaitre la Palestine ce qui permettait la colonisation ,Neutral,conflict
69,Israel is murdering Palestinians in the West Bank where there is NO HAMAS,Negative,selfdefend
70,GazaGenocide Gazabombing غزةتستغيث مستشفىالقدس Palestine Isreal natanyahuAcriminalofwar Christianity Themessiah,Neutral,conflict
71,Show me a map before 1947 in which the land is named Israel and not Palestine or Palestina,Neutral,government_war
72,Anyone know the origin of the word Palestine Do you know what language it comes from Hint: its not Arabic,Neutral,wonder
73,israel palestine ,Neutral,conflict
74,Can yall do one next for the people thats trapped in Palestine that would be a good idea but 22 million compared to 200 yall might not have enough ink for it sadly,Negative,sadly
75,Tell your people to get out of Palestine and return the stolen Palestinian land well actually it is a matter of time till the end of your fake state it is doomed to end,Negative,peace
76,It is truly horrific what is happening in Gaza every single day There is no justification to carpet bombing Palestine The mass casualties are devastating to say the least CEASEFIRE NOW ️,Negative,peace
77,Soutenir la Palestine sans être antizioniste cest un contradictoire à sa racine et pour ce que tu dis Jss daccord mais c moins par lâcheté que par le fait que culturellement on ne manifeste pas le printemps arabe pèse encore sur notre communauté qui refuse de sassocier,Negative,conflict
78,Youve had years to try and change things in Palestine Why wait until after their terrorist rulers attacked innocent people in Israel Did Hamas send warnings before they attacked No They committed atrocities Dont start none there wont be none is a saying in the US…,Negative,proIsrael
79,Free Palestine Free Gaza,Positive,supportPalestine
80,You Can Crush All The Flowers But You Cannot Stop The Spring ~Pablo Neruda PALESTINE will be FREE,Positive,peace
81,gila palestine perlukan support dan suara kita tapi orang orang against ph ni sibuk mempolitikkan semua isu sudahla fokus la isu yang lebih besar palestine isunya bukan politik haih,Positive,supportPalestine
82,When was Palestine a country Again ,Neutral,wonder
83,Be human stand with Israel Israel being human with a Palestine 3 years old child ,Neutral,supportPalestine
84,there is no narrativehe story is an easy read70yrs ago an Area known as Palestine was invaded by US and British forces to push Palestinians and Jews already living in the area back to give most of the land to zionist Israel (European descendant Israelites,Positive,religionFight
85,Then what do you call orthodox Jews standing with Palestine ,Neutral,religionFight
86,Concontre Daesh et le Hamas Pas contre la Palestine Hadrien Clouet : Vous ne savez ni lire et écouter ou vous le faites exprès ,Neutral,selfdefend
87,The Palestinians go through this everyday and now the world sees that Palestine IsraelNewNazism,Neutral,suffering
88,I used to love listening until I read that you cut advertisements for s book on Palestine I am going to stop listening/supporting you and will now be reading ‘A Day in the Life of Abed Salama ️,Positive,peace
89,La guerre en cours entre Israël et la Palestine nest pas une guerre entre deux États donc lattaque de la résistance palestinienne nest pas une déclaration de guerre mais seulement une réaction aux violations qui ont lieu depuis plus de 70 ans,Negative,conflict
90,Why are you still sending money to Ukraine Israel and Palestine Whats your real agenda When are you going to actually do some work at the White House You have been spitting in our faces for decades Please go away I voted for you and deeply regret it,Negative,wonder
91,Why is india there India sent aid to Palestine ,Neutral,wonder
92,We stand with palestine against the evil zionists 🇵🇸🇵🇸🇵🇸🇹🇷🇹🇷🇹🇷,Negative,supportPalestine
93,Raise voice for palestine,Neutral,supportPalestine
94,Yeahhhh alhamdulillah Malaysia Stand For Palestine ,Neutral,supportPalestine
95,The vast majority of Palestinians dont want support from LGBTQ people and if they see LGBTQ members in a pro palestine protest they would kick them out and beat them,Negative,supportPalestine
96,Murder of Palestine children is blot on humanity stop supporting murderers of isrral and put pressure on them to stop their genocidal agenda FreePalestine,Negative,peace
97,suchwita editors are so good at clipping the moments with the most sexual tension for the teaser,Neutral,supportPalestine
98,Free palestine ,Positive,supportPalestine
99,Free Palestine 🇵🇸,Positive,supportPalestine
100,Nick Fuentes raises concerns over Israel Palestine conflict citing possible WW3 trigger Watch more GazaBombing GazaGenocide Israel Palestine WW3 ,Negative,war
101,no i didnt idk what ur talking about,Negative,wonder
102,This ^ there is no such thing as Palestine This myth that their land is being occupied by Israel is a gigantic lie Israel has always been there before Christ was born and now Sorry Palestinians I dont know what to tell you,Negative,sadly
103,Pakistan stand with Palestine,Neutral,supportPalestine
104,I CAN ONLY HOPE THATS TRUE HDHDHDH,Positive,peace
105,This is absolutely not true There was no Islamic invasion in south this statement itself shows the bias in education Its truly worrying that people in north dont even have basic knowledge of how south has suffered and always ridicule us that they beat the burnt,Negative,wonder
106,Pray for Palestine 🇵🇸 save Palestine 🇵🇸,Positive,supportPalestine
107,Free palestine 🇵🇸,Positive,supportPalestine
108,My daughter asks her teacher in 🇩🇪 school why are demonstrations for Palestine prohibited She says because it would be like allowing Nazis to demonstrate ‍️ Why dont you allow jewish anti Israel demonstrations in a brave 🇩🇪️ ,Positive,religionFight
109,Palestine love using children for propaganda ,Positive,peace
110,Special thank you to my 129 new followers from Saudi Arabia Egypt Palestine and more last week ,Positive,conflict
111,Just saw a thread with statements from 8 or so higher ups of *sr*el unequivocally showing that H*m*s is not their sole target and they see all Palestinians as subhuman They just want Palestine to burn And people still have the gall to cry that calling this out is *ntis*mit*sm,Negative,supportPalestine
112,My kids go on weekends to an Arabic school Most Kids are ️ they thought its a safe environment to talk about their feelings ️ Nope the teacher a 🇵🇸 herself told them if we talk about Palestine we might be accused with Antisemitism &amp the school will be closed so … ,Positive,proIsrael
113,The US should treat Israel and Palestine like Hiroshima and Nagasaki Problem solved,Positive,conflict
114,Like if you support Palestine 🇵🇸,Positive,supportPalestine
115,UPDATING LIVE: Security Council meets on Israel Palestine as Gaza crisis deepens ,Negative,war
116,FYİ people in Gaza left their homes and are staying in the streets day &amp night to avoid sudden bombardment of their houses simply bcz lsrael deliberately target civilians to terrorize &amp kill GazaGenocide Palestine Gaza GazaWar ,Negative,israel_crime
117,Free Palestine 🇵🇸,Positive,supportPalestine
118,BREAKING Settlers burn a house in the village of Talfit near Nablus Palestine WestBank ,Neutral,war
119,Israeli soldiers committed Thier crimes towards Palestine and laughing about killing innocent people then when the they tried to try to recover their stolen land and take revenge of their families who killed u call them Terrorist ,Negative,proIsrael
120,Curses for Israel Freedom for palestine,Positive,supportPalestine
121,The other day my daughter was asking us how to behave if she is forced in school to do things she doesnt agree with My wife said: „do what is told from you never talk about Palestine in school I was like „This is what our parents used to do in Syria We are in a free… ,Negative,supportPalestine
122,The difference was George Floyd paid for his crimes before his death Palestine is still in the act of committing them,Negative,israel_crime
123,Israel existed for hours before every nation bordering them including Palestine attacked them and swore to eliminate them from existence You can lie to yourself but we know history,Negative,israel_crime
124,ISIS beheaded Muslims and stormed Islamic countries has been ripping up children and storming not only Gaza but the whole Palestine for decades as well ISRAEL=ISIS GenocideinGaza,Positive,sadly
125,Je pense que beaucoup de gens dont je fait partie se posent beaucoup de questions Israël dans la bible est en fait Jacob et non une terre la Palestine quand a elle est une terre ,Neutral,conflict
126,The supposedly invincible Israel soldiers relies on air force to bombard Syria Iraq Lebanon and Palestine (Gaza) cause there armies are nothing but TikTok warriors,Positive,israel_crime
127,Et cette coalition internationale rassemblera 80 drapeaux pour une bataille finale à Dabiq En plus al Aqsa et Palestine toussa ,Neutral,supportPalestine
128,What Hamas did would be condemned if Israel had been condemned for decades Your blatant silence about Israels crimes is the reason for the emergence of resistance like Hamas You support the resistance in Ukraine but do not support it in Palestine You have a double standard,Positive,supportPalestine
129,West Bank Gaza Tel Aviv belong to the Palestine 🇵🇸 I stand with the Palestinians FreePalestine FreeGaza Freethechildren ,Neutral,supportPalestine
130,If you are curious watch this documentary (from 2019) to understand more about how people in Gaza Palestine live Gaza fights for freedom ,Positive,supportPalestine
131,without JUSTICE for the Palestinian people there can BE no peace without giving their land &amp homes back there can BE no peace whilst Israel is ILLEGALLY OCCUPYING the majority of Palestine there can BE no peace without FULL FREEDOM &amp EQUAL RIGHTS for Palestinians To suggest,Negative,peace
132,Israel is illegal immoral state Israel is terrorist state Israel is occupier Israel is murdering owners of the land of Palestine All honest justice loving people of the all nations stand with Palestinian people I condemn Israeli state army government and officials,Negative,proIsrael
133,An online talk on Contextualising Gaza with Dr Nada Elia Tomorrow at 6pm CET Organised by Students of Palestine Gaza,Neutral,supportPalestine
134,Im tired of all the posturing on the Israel Palestine debate People are f**king dying over some land and these people all need to live somewhere If you dont say all violence is terrible then you cant say shit about anything Loss of human life is the greatest crime of all,Negative,war
135,May I ask whats this ,Neutral,wonder
136,Free Palestine GazaGenocide,Positive,supportPalestine
137,I stand against all terrorists However when Jews rebelled against their Nazi SS guards in Warsaw were they terrorists So why is it wrong when the prisoners attack the guards in Occupied Palestine ,Negative,religionFight
138,Palestine must follow Gandhi All Middle East countries including Saudi say that,Neutral,conflict
139,As Suella and police argue over the use of the word Jihad in peaceful protests for Palestine here is what it actually means This is what 18 billion Muslims seek to do every day their jihad Islamaphobia FreeSpeech PalestineHolocaust palestineGencide IslamUnderAttack ,Neutral,war
140,Root cause : Israel take land owned by Palestinian in 1948 That start the problems If Israel take Texas no problem in Palestinesimple as that for wise people who got brain ,Negative,government_war
141,its truly dystopian that people are quite literally losing their jobs for merely saying free palestine what the actual fuck,Neutral,supportPalestine
142,WATCH | Hollywood actor Jason Statham challenges the police and installs the Palestinian flag on his car JasonStatham GazaGenocide Gaza Hamas Israel Palestine غزةتستغيث ,Positive,war
143,Yet still the horror and destruction that happen to Palestine is unbelievable Hope no human being suffer it Hope there is peace Vengeance should never be like this This Nazi like behaviors,Negative,peace
144,Mais Israël peut bombardé le Liban la Syrie la Palestine Comme vous français ont bombardé la Libye etc ,Neutral,conflict
145,ZionismIsNazism ZionistsAreNazis FreePalestine Palestine Gaza Israel ,Neutral,supportPalestine
146,AIRPLANES Airplanes can fly Likes TAILS…Tails can fly…I LOVE TAILS ,Positive,peace
147,Reports that today in Jerusalem Israeli police shut down access for Muslims to al Aqsa mosque IsraelAttack Hamas Palestine Gazabombing GazaUnderAttack Gaza Israel GazaCity GazaUnderAttack WestBank IsraelGazaWar ,Neutral,war
148,What about Palestine ,Neutral,wonder
149,« La Palestine existe » ah bon Qui la reconnaît Quel est sa monnaie Son président Merci de méclairer svp,Neutral,conflict
150,This but also… human rights arent conditional Any arguments about how progressive Palestine is have nothing to do with it getting bombed,Positive,supportPalestine
151,Gaza Palestine FreePalestineHomeland ,Neutral,conflict
152,Join our discussion today at 5:00 pm WAT on OneSlot Raising Awareness About Polio African Countries Reaction To Israel Palestine War Watch LIVE: :DSTV CH 422 Startimes CH 247 AVO CH 23 Subscribe : NewsCentralTV AfricaFirst Africa Gaza ,Negative,war
153,yer looking up Palestine in the bibleneed a bit of help,Positive,supportPalestine
154,Salam brother as good Muslims we must stand with Palestine AND non Zionist Jews as theyre getting pummelled too Lets not forget that they are victims also of the Zionist state Sickens me to see this,Negative,religionFight
155,The issue is who is listening to this message Only you and me who dont have power to stop the masse killings and genocides PalestineGenocide GazaGenocide,Negative,peace
156,I dont believe or trust jack shit about the Israel vs Palestine situation rn,Negative,conflict
157,She was born in Eretz Yisrael Officially it was called the Ottoman Empire at that time I believe Palestine is a name that it was called by the Romans nothing to do with modern day Palestinians,Neutral,supportPalestine
158,A shower of shite that 99% of the UK would like to see leave this country If only people like you cared as much about your own people and constituents as you do about Hamass &amp Palestine Your friends keep shouting Jihad and soon the rest of the population will be Crusade ,Positive,conflict
159,do your politics (progressive) happen to include a free palestine ,Positive,supportPalestine
160,I see a lot of people protesting for a free Palestine and an end to the occupation ethnic cleansing and aggression of Israel Very few people going out with Hamas flags or headbands,Negative,peace
161,Everyone sympathizes and supports peace for Palestine,Positive,peace
162,I pray for the day when the children of Syria Palestine &amp Iraq wake up to the sound of birds not bombs 🇵🇸🇵🇸,Positive,sadly
163,Israeli Gaza war resolution conflict erupts at Aurora City Hall as hundreds protest Fiery crowd confronts Aurora City Council over Israel Palestine resolution: ‘I hope you feel our collective sorrow COpolitics IsraeliGazaWar NoPaywall ,Negative,peace
164,Heres the Free Palestine chants by the wonderful commuters on the Central Line on Londons Tube in solidarity with the besieged in Gaza ,Positive,supportPalestine
165,The only solution for genuine peace and security not just for Israel and Palestine but for the entire inhabited earth,Positive,peace
166,The way so many of my friends are staying quiet about Palestine is truly disgusting especially when most of yall have kids ‍,Positive,wonder
167,Free Palestine 🇵🇸,Positive,supportPalestine
168,Israël est une démocratie la Palestine une région gouverné par des terroristes islamistes djihadiste du Hamas qui sont aussi pire que les nazis,Neutral,selfdefend
169,Live and let live I believe But how will Queers for Palestine fare if it visits the people of Gaza ,Neutral,wonder
170,He doesnt support genocide FREE PALESTINE,Negative,genocide
171,Pray for palestine,Positive,supportPalestine
172,if being called a terrorist state means killing Palestine Hamas is also a terrorist,Negative,proIsrael
173,my windows surface laptop will just make my surface pen stop working when it wants to force me to install an update Hella annoying when it happens during the middle of lecture,Negative,peace
174,Boycot for Israel product And support for Palestine ,Positive,boikot
175,Exactly we support Palestine and this is the basis and Israel is much more terrorist than Hamas if Hamas is considered terrorists,Negative,proIsrael
176,Hollywood yıldızı Jason Statham Filistinde yaşanan zulme sessiz kalmamak için aracına filistin bayrağı asarak destek verdi Şampiyonlar Ligi İcardi İsveç lider devlet bahçeli Vladimir Putin 110 filistinli Süleyman Soylu Gaza İran Palestine ,Neutral,conflict
177,Thiss 1 of most falsely &amp biased tweets Ive ever read Israel has committed &amp is committing genocide in Gaza &amp Palestine 1000s &amp millions of 🇮🇱s do not think that 🇮🇱 is a market democracy They oppose their gov + the warmongering Netanyahu &amp the GazaGenocide Dont LIE,Negative,genocide
178,Diantara terkabulnya doa adalah ketika turun hujan Yaa Rabbi Ya Ilahi Selamatkanlah bumi Palestine tolonglah saudara² kami disana beri kekuatan bagi para pejuang agamaMu beri kesabaran bagi saudara kami yang terluka karna kekejian zionis Israel ,Negative,conflict
179,End infanticide إنهاء قتل الأطفال קץ לרצח תינוקות کودک کشی را پایان دهید qaza palestine Isreal ,Neutral,peace
180,shes a zionist,Neutral,against_israel
181,Free Palestine 🇵🇸 MalaysiaStandWithPalestine,Positive,supportPalestine
182,Two weeks ago I caught a CPI M cadre(Dont know his name) saying that HAMAS is RSS of Palestine,Neutral,selfdefend
183,Palestinians have been offer a 2 State Solution 5X throughout history and every time they say No Solution: Tell all Palestinians immigrants they are being sent back to Palestine for security reasons Then youll see a quick end to Hamas and the threat of deportation removed ,Positive,peace
184,Freedom for the one who thinks differently A group of Jewish artists writers and scholars in Germany have written an open letter to condemn the countrys disturbing crackdown on civic life in the wake of the horrifying violence in Israel and Palestine ,Negative,religionFight
185,Palestine is learning what Fuck around and find out means,Negative,wonder
186,Ya اللہ protect palestine and its people,Positive,supportPalestine
187,Tell me why I went to put the Palestine flag emoji in my name and twitter wouldnt let me then made me prove Im not a bot Like I got the flag added then but vv strange ,Negative,wonder
188,Give that land back to Palestine,Neutral,government_war
189,I stand for palestine🇵🇸,Neutral,supportPalestine
190,I am a Shia Iranian 🇮🇷and STAND WITH PALESTINE🇵🇸,Neutral,supportPalestine
191,Well miss I understand all you are saying but Im sorry to inform you that Palestine dosnt exist sadly it never has ‍️,Negative,sadly
192,I lived all my youth in Syria I know how repression looks like and I am seeing parallels in Germany when it comes to Israel &amp Palestine This is a personal experience and observations ,Neutral,wonder
193,Did she defend Palestine ,Neutral,selfdefend
194,Allah Palestine ko kamyabe ata farmaye Ameen,Neutral,religionFight
195,أنشروا الحقيقة GazaGenocide Gaza Israelterrorist Palestine Palestinegenocide فلسطين غزةالعزة غزةتستغيث ,Neutral,conflict
196,Standing in solidarity with Palestine fills my heart with hope for a more just world ,Positive,peace
197,&amp its FreePalestine until Palestine is FREE ,Positive,supportPalestine
198,Oh I got in trouble in school for talking then later for speaking up for others and basically rolled over into work But my dad wasnt pissed with me doing that at school Just when I got to work,Positive,supportPalestine
199,In sabhi ko Palestine bhejo ye Israel se ladlenge dogle,Neutral,conflict
200,Is there any way US could trade her to Palestine 2 draft picks and mortar round to be fired later,Negative,conflict
201,Thanks Pakistan strategic armed forces for keeping us Safe from Devil Eyes of Enemies Long live Pakistan 🇵🇰 Long live Palestine Long live Kashmir Long live Muslim Countries,Negative,religionFight
202,What part doesnt make sense They could have kept the borders if Palestine didnt get their epic arab coalition to try and wipe Israel out lmfao,Positive,supportPalestine
203,People of Gaza Palestine &amp entire Arab world doesnt give a fcuk about what these Pakis do &amp dedicate But these hutiyas are always doing Yeh Islam ki jeet hai Yeh Gaza ki jeet hai Saudis ne toh entry band karwa di hain Kaaba mein in paakitmariyon ki ,Neutral,religionFight
204,Free Palestine 🇵🇸,Positive,supportPalestine
205,When religious group retaliate in defense of thier territory it is called islamic terrorism according to myopic Christians like you and the Western capitalist Palestine have been a Muslim country for many years before Jews as a refuges came to the land they were offered,Negative,religionFight
206,ily,Positive,peace
207,We stand with Palestine Not with hamaz every one aware how CIA and MOSSAD upbring hamaz,Neutral,supportPalestine
208,Israel has occupied Palestine since 1949 Gaza is A part of Palestine They always steal the land of Palestinian demolish their homes kills them and kidnap mor than 7000 Palestinians Palestine have right to resist the terrorist Israeli occupation to give their land back,Negative,proIsrael
209,GazaGenocide why world is quite on Gaza attack Israil has nos authroity to occu py the Palestine and bombarment leave Palestine Terrorist Israel go America this is not country Palestine gave you shelter and you are targetinh them shame on you ungrateful ful nation,Negative,proIsrael
210,all they do is cry for Palestine they wont fight thats why its a joke Israel still putting a foot up palestinians ass,Negative,wonder
211,killing of humans in Palestine since 75 years Hamas just founded before last years Is there another justification for murdering millions of civilians israel only big group of blood lover killer this is fact,Negative,war
212,I am sure that some that think they are moderates are plugging their ears and hoping the massacre happening in Palestine will soon be over I mean they ignored their way thru the Iraq disaster listening only to CNN telling them that the deaths were justified,Positive,conflict
213,The biggest limitation to the two state solution is the refusal of people to accept that the two states were established in 1948 and they are Israel and Jordan There is no Palestine and there are no Palestinians only Jordanians occupying what should be Israel,Negative,wonder
214,i noticed the same thing theres a lot of news about hamas and israel but barely any about palestine,Neutral,selfdefend
215,Free Palestine 󠁧󠁢󠁳󠁣󠁴󠁿󠁧󠁢󠁳󠁣󠁴󠁿󠁧󠁢󠁳󠁣󠁴󠁿󠁧󠁢󠁳󠁣󠁴󠁿󠁧󠁢󠁳󠁣󠁴󠁿󠁧󠁢󠁳󠁣󠁴󠁿,Positive,supportPalestine
216,Palestine is used as a sympathy merchandize to spread the Islamic agenda,Positive,peace
217,To be fair it was Palestine on the old maps of the 20th century and before Israel has essentially had a military occupation for 75 years and keeps taking more and more Everyone thinks we should support Israel because of the bible Two very different Israels Im pretty sure,Positive,supportPalestine
218,Whats you solution then Israel isnt going anywhereand Palestine isnt going anywhereso why not make kick out Hamas and make peace why does civilians have to die from both side because of politics ,Positive,peace
219,Isnt Jordan created from British Mandate Palestine a majority Palestinian state that is governed by minority government ,Negative,conflict
220,La Palestine nattend pas de nous que lun écrase lautre… via ,Neutral,conflict
221,Any Zionist claiming that being anti Zionist is anti Jewish is an antisemite Its easy to prove Zionists are antisemite by watching the way they treat anti Zionist Jews Niki you are part of a sick cult and you need help So good cult reprogramming from a specialist would help,Positive,religionFight
222,Zionist Israels continued flagrant omission &amp denial of terrorism racism genicide ethnic cleansing land theft brutal illegal military occupation of Palestines Gaza West Bank East Jerusalem Zionism is not Judaism Zionism employs Nazi pogroms in Palestine ,Negative,against_israel
223,U mean Hamas from Palestine,Neutral,selfdefend
224,do your (progressive) politics happen to include a free palestine ,Positive,supportPalestine
